Dox 12.5,NVB 2.5,Dox 25,NVB 5,Dox 50,NVB 10,Dox 100,NVB 20
0.0382,0.0684,0.0407,0.0349,0.0348,0.0586,0.0649,0.0361
0.0589,0.1162,0.0508,0.0543,0.0698,0.0906,0.1072,0.0684
0.1101,0.1599,0.0865,0.0849,0.1361,0.1113,0.1717,0.1221
0.1211,0.1802,0.0871,0.083,0.1346,0.1159,0.1554,0.123
0.1065,0.1816,0.0812,0.0869,0.1117,0.1198,0.1504,0.1264
0.0969,0.1715,0.0796,0.0781,0.1001,0.1167,0.1295,0.1202
0.0893,0.1639,0.0749,0.0764,0.0959,0.1102,0.1355,0.1207
0.0891,0.161,0.076,0.0697,0.0917,0.1026,0.1288,0.1268
0.0799,0.1369,0.0723,0.0624,0.0818,0.0874,0.1166,0.1266
0.0946,0.1569,0.0818,0.0784,0.101,0.0925,0.1416,0.1486
0.0987,0.1484,0.0866,0.078,0.1032,0.0944,0.1477,0.1514
0.0926,0.1382,0.0743,0.0721,0.097,0.087,0.1377,0.1394
0.0926,0.135,0.0723,0.0697,0.0962,0.0841,0.1331,0.1336
0.0874,0.1262,0.0704,0.0723,0.0946,0.0782,0.1347,0.1299
0.0853,0.1219,0.0598,0.0723,0.0924,0.0736,0.1295,0.1268
0.082,0.1154,0.0568,0.0705,0.0948,0.0759,0.127,0.1269
0.1093,0.1429,0.0704,0.0843,0.1181,0.0935,0.1575,0.1606
0.1199,0.1764,0.0956,0.1014,0.1633,0.1009,0.2017,0.1824
0.1191,0.1942,0.0978,0.0941,0.1613,0.1037,0.2159,0.211
0.108,0.1809,0.091,0.0837,0.1498,0.0863,0.1983,0.1979
0.1006,0.1752,0.0877,0.0789,0.1527,0.0822,0.1845,0.1905
0.0951,0.1698,0.0887,0.0747,0.1462,0.0815,0.1804,0.1856
0.0927,0.162,0.0815,0.0704,0.144,0.0819,0.1817,0.1831
0.0897,0.153,0.0781,0.0709,0.1374,0.0801,0.1735,0.1767
0.1156,0.2016,0.0991,0.0843,0.1597,0.0915,0.2023,0.2197
0.0428,0.0355,0.2829,0.0307,0.0767,0.0383,0.0387,0.0514
0.0534,0.0555,0.2803,0.0548,0.1374,0.0764,0.0921,0.0887
0.1018,0.1139,0.2846,0.0887,0.1635,0.1021,0.1762,0.1412
0.1013,0.1173,0.2892,0.1018,0.1441,0.1051,0.1704,0.1396
0.0995,0.1274,0.2732,0.0982,0.1347,0.1046,0.1517,0.1366
0.0981,0.1273,0.2376,0.0942,0.1143,0.1027,0.1415,0.1333
0.0962,0.1136,0.2366,0.0952,0.1101,0.0983,0.1327,0.1311
0.0867,0.1041,0.2236,0.0915,0.1067,0.0976,0.1241,0.1323
0.0809,0.0909,0.1937,0.0751,0.1157,0.0885,0.1126,0.1312
0.0998,0.1097,0.1844,0.0781,0.1617,0.1008,0.1367,0.13
0.0974,0.1103,0.1534,0.0728,0.1737,0.1013,0.143,0.1391
0.0936,0.1041,0.1426,0.0643,0.1685,0.1122,0.1372,0.1296
0.0895,0.1,0.1352,0.062,0.157,0.1051,0.131,0.1275
0.0897,0.0956,0.1316,0.0638,0.1516,0.1033,0.1288,0.1286
0.0861,0.0944,0.1281,0.061,0.1557,0.1061,0.1318,0.1251
0.075,0.0904,0.1216,0.0587,0.1494,0.1026,0.1303,0.1237
0.1135,0.1045,0.1499,0.0629,0.174,0.1111,0.17,0.1504
0.1275,0.088,0.1404,0.0959,0.1669,0.1461,0.2013,0.1652
0.134,0.0945,0.1497,0.0991,0.1712,0.1393,0.2026,0.1775
0.1287,0.0864,0.1335,0.0846,0.1605,0.1241,0.192,0.1648
0.1268,0.0767,0.1252,0.0832,0.158,0.1173,0.1794,0.1634
0.1183,0.0772,0.1196,0.0791,0.1412,0.1092,0.1728,0.1662
0.1138,0.0713,0.1086,0.0735,0.1393,0.1093,0.1711,0.1697
0.1134,0.0732,0.1088,0.0779,0.133,0.1072,0.1696,0.1697
0.1311,0.0959,0.1175,0.083,0.1767,0.1255,0.2292,0.2156
0.5292,0.1088,0.0327,0.039,0.0287,0.0297,0.0392,0.0351
0.5533,0.2111,0.0505,0.0503,0.0437,0.0529,0.0606,0.0762
0.3325,0.2364,0.1103,0.0705,0.0465,0.0672,0.105,0.0872
0.111,0.2476,0.107,0.0746,0.0456,0.0762,0.1055,0.0982
0.1052,0.2601,0.1043,0.0696,0.049,0.0805,0.1041,0.0954
0.0972,0.2531,0.1005,0.0618,0.0521,0.0849,0.0974,0.0943
0.0874,0.2449,0.0999,0.0632,0.0563,0.08,0.1061,0.0947
0.0724,0.2239,0.0921,0.0614,0.0503,0.0784,0.0964,0.0974
0.0635,0.1871,0.0842,0.058,0.0493,0.0668,0.0847,0.0855
0.5804,0.2004,0.0966,0.0652,0.0573,0.0878,0.1002,0.1038
0.3499,0.1946,0.105,0.0712,0.0612,0.1124,0.1046,0.1001
0.2608,0.1757,0.0965,0.0662,0.054,0.1151,0.0984,0.0978
0.1926,0.1705,0.0869,0.0619,0.0559,0.106,0.096,0.1003
0.1807,0.1673,0.088,0.0594,0.0568,0.102,0.0961,0.1
0.1955,0.1575,0.0864,0.0569,0.0542,0.0987,0.0888,0.1052
0.208,0.1451,0.0792,0.0581,0.052,0.0953,0.0823,0.0967
0.5858,0.1959,0.0816,0.0723,0.0607,0.1916,0.1072,0.1258
0.8407,0.1992,0.0939,0.0807,0.0683,0.1188,0.1217,0.1463
0.3673,0.189,0.0977,0.0845,0.0722,0.121,0.1219,0.1514
0.3121,0.1659,0.091,0.0788,0.0605,0.1074,0.1139,0.1394
0.2519,0.1636,0.0865,0.0734,0.0622,0.1012,0.1078,0.1315
0.2391,0.1617,0.0807,0.0701,0.0608,0.0995,0.1099,0.1296
0.2714,0.156,0.0757,0.0683,0.0619,0.0949,0.1157,0.1299
0.2529,0.148,0.0753,0.0702,0.0616,0.0956,0.1197,0.1358
0.2623,0.1812,0.0872,0.0809,0.08,0.1124,0.1269,0.1597
