Date Time	Elapsed	Control	R 1	Dox 12.5	NVB 2.5	Dox 25	NVB 5	Dox 50	NVB 10	Dox 100	NVB 20	Dox 200	NVB 40
3/3/2017 12:00	0	0.0422	0.047	0.0342	0.0358	0.027	0.0867	0.0526	0.0237	0.0321	0.0416	0.0379	0.0821
3/3/2017 15:00	3	0.0858	0.0706	0.0471	0.0741	0.047	0.1129	0.095	0.0672	0.0595	0.056	0.0798	0.1351
3/3/2017 18:00	6	0.1457	0.1144	0.0625	0.1275	0.0653	0.1607	0.1253	0.1493	0.0976	0.0793	0.125	0.1962
3/3/2017 21:00	9	0.1402	0.121	0.0587	0.1288	0.0669	0.1405	0.1331	0.1477	0.0922	0.0802	0.1116	0.1754
3/4/2017 0:00	12	0.126	0.1125	0.0591	0.1245	0.07	0.1299	0.1322	0.1293	0.0922	0.0757	0.098	0.1761
3/4/2017 3:00	15	0.1215	0.1065	0.0545	0.1124	0.0661	0.1227	0.1364	0.1276	0.0878	0.0777	0.0901	0.1738
3/4/2017 6:00	18	0.1175	0.0917	0.0597	0.1062	0.0582	0.1183	0.1355	0.1214	0.0883	0.0811	0.0864	0.1684
3/4/2017 9:00	21	0.1117	0.0848	0.0551	0.0961	0.0538	0.1339	0.1203	0.1184	0.0887	0.0774	0.0863	0.1842
3/4/2017 12:00	24	0.0939	0.0728	0.0532	0.0757	0.0447	0.1234	0.1064	0.1109	0.0789	0.0791	0.079	0.1737
3/4/2017 15:00	27	0.1193	0.081	0.051	0.1006	0.0754	0.1334	0.119	0.1234	0.0944	0.0874	0.1068	0.2023
3/4/2017 18:00	30	0.1241	0.0874	0.0508	0.0929	0.0776	0.1396	0.1175	0.1271	0.1015	0.0888	0.1227	0.2175
3/4/2017 21:00	33	0.1154	0.0811	0.049	0.0819	0.0764	0.1264	0.1074	0.118	0.1014	0.09	0.1129	0.2083
3/5/2017 0:00	36	0.1085	0.08	0.0467	0.0777	0.0714	0.1297	0.0977	0.1112	0.0931	0.0911	0.1094	0.2009
3/5/2017 3:00	39	0.1055	0.0814	0.0451	0.0787	0.0688	0.1299	0.0987	0.1142	0.0924	0.088	0.1008	0.1959
3/5/2017 6:00	42	0.102	0.0771	0.0458	0.0756	0.0659	0.127	0.0998	0.1128	0.0826	0.0812	0.1003	0.1888
3/5/2017 9:00	45	0.0994	0.0746	0.0491	0.0723	0.0651	0.1288	0.0931	0.1055	0.0841	0.0821	0.0996	0.1901
3/5/2017 12:00	48	0.12	0.0894	0.0515	0.1001	0.0845	0.1487	0.112	0.1201	0.1134	0.1085	0.1334	0.2118
3/5/2017 15:00	51	0.1223	0.1012	0.0422	0.1167	0.0948	0.109	0.137	0.1334	0.1378	0.1531	0.1409	0.2356
3/5/2017 18:00	54	0.1341	0.1081	0.0456	0.1112	0.0981	0.1096	0.1329	0.1349	0.1443	0.1686	0.1385	0.2609
3/5/2017 21:00	57	0.1177	0.0916	0.0448	0.0986	0.0938	0.0998	0.1318	0.1294	0.136	0.1569	0.1313	0.2326
3/6/2017 0:00	60	0.1039	0.0879	0.0364	0.0973	0.0881	0.0944	0.1183	0.1205	0.1314	0.1598	0.1242	0.2301
3/6/2017 3:00	63	0.1022	0.0812	0.0373	0.0893	0.0857	0.0915	0.1102	0.1115	0.125	0.1574	0.1149	0.235
3/6/2017 6:00	66	0.0992	0.0832	0.0376	0.0927	0.0832	0.0866	0.1067	0.1079	0.1239	0.1547	0.1168	0.24
3/6/2017 9:00	69	0.0915	0.084	0.0353	0.0894	0.0853	0.0816	0.1052	0.1044	0.1212	0.1486	0.1164	0.2362
3/6/2017 12:00	72	0.1067	0.1037	0.0413	0.1057	0.0901	0.0981	0.1181	0.1279	0.137	0.1766	0.1375	0.287
3/3/2017 12:00	0	0.0678	0.0335	0.0359	0.0293	0.0567	0.0575	0.066	0.0611	0.0193	0.0344	0.0447	0.0482
3/3/2017 15:00	3	0.1029	0.0667	0.0494	0.0403	0.0896	0.0771	0.0817	0.0894	0.049	0.0507	0.0566	0.071
3/3/2017 18:00	6	0.1386	0.11	0.0805	0.0897	0.1076	0.1434	0.1215	0.1304	0.0897	0.1089	0.0967	0.1221
3/3/2017 21:00	9	0.1399	0.0986	0.0785	0.0807	0.1067	0.1372	0.1266	0.1338	0.083	0.1036	0.0921	0.116
3/4/2017 0:00	12	0.1325	0.1028	0.0854	0.0834	0.1119	0.1268	0.1267	0.1206	0.0837	0.1003	0.0753	0.1135
3/4/2017 3:00	15	0.1227	0.1015	0.0859	0.0778	0.1119	0.1276	0.1248	0.1104	0.0791	0.1025	0.0736	0.115
3/4/2017 6:00	18	0.1175	0.0998	0.0878	0.0701	0.103	0.1257	0.1294	0.1055	0.0738	0.1004	0.074	0.116
3/4/2017 9:00	21	0.1093	0.0975	0.0887	0.0637	0.1035	0.1202	0.1342	0.0993	0.0724	0.0966	0.0709	0.1166
3/4/2017 12:00	24	0.0908	0.0835	0.0856	0.0522	0.09	0.1005	0.1244	0.0986	0.0665	0.089	0.0691	0.1202
3/4/2017 15:00	27	0.1288	0.0883	0.0848	0.0767	0.1114	0.1125	0.1248	0.1106	0.0847	0.1009	0.0853	0.1434
3/4/2017 18:00	30	0.1256	0.0844	0.0959	0.0728	0.1157	0.1045	0.1296	0.0981	0.0882	0.1032	0.0749	0.1543
3/4/2017 21:00	33	0.116	0.0772	0.0883	0.0674	0.1113	0.0933	0.1241	0.0944	0.0846	0.0942	0.0732	0.1466
3/5/2017 0:00	36	0.1121	0.076	0.0855	0.0703	0.1092	0.0905	0.1204	0.0878	0.0864	0.1013	0.0697	0.1455
3/5/2017 3:00	39	0.1064	0.0742	0.0767	0.0707	0.0982	0.078	0.1131	0.083	0.0856	0.1043	0.0759	0.1394
3/5/2017 6:00	42	0.1017	0.0707	0.0701	0.0636	0.092	0.0764	0.1177	0.0761	0.0873	0.1015	0.0746	0.1342
3/5/2017 9:00	45	0.0935	0.0706	0.0648	0.0614	0.1003	0.0731	0.1167	0.0853	0.0826	0.0964	0.0732	0.1336
3/5/2017 12:00	48	0.1116	0.0834	0.0765	0.078	0.1259	0.113	0.1296	0.121	0.1055	0.1249	0.0923	0.1702
3/5/2017 15:00	51	0.101	0.1004	0.0881	0.08	0.129	0.1051	0.1424	0.1298	0.1107	0.1136	0.1187	0.1835
3/5/2017 18:00	54	0.1042	0.0971	0.0902	0.0833	0.1317	0.0935	0.1438	0.1261	0.1163	0.1237	0.1231	0.1965
3/5/2017 21:00	57	0.0877	0.0854	0.0884	0.0739	0.1237	0.0824	0.1184	0.1215	0.0992	0.1061	0.1151	0.1876
3/6/2017 0:00	60	0.0862	0.0831	0.0812	0.0696	0.1063	0.0749	0.1194	0.121	0.0923	0.1017	0.1119	0.1764
3/6/2017 3:00	63	0.0852	0.0768	0.0756	0.0666	0.1062	0.0903	0.1144	0.1194	0.0907	0.0978	0.106	0.1752
3/6/2017 6:00	66	0.0807	0.0718	0.071	0.0572	0.1026	0.0871	0.1105	0.1165	0.0894	0.095	0.1061	0.1762
3/6/2017 9:00	69	0.0804	0.0686	0.0598	0.0562	0.1021	0.0907	0.1101	0.118	0.0966	0.094	0.1034	0.1808
3/6/2017 12:00	72	0.0977	0.0812	0.0646	0.0737	0.1079	0.112	0.1283	0.1304	0.1178	0.1315	0.1319	0.2465
3/3/2017 12:00	0	0.0894	0.058	0.0409	0.0253	0.0547	0.0194	0.0562	0.0229	0.044	0.0186	0.021	0.0599
3/3/2017 15:00	3	0.1614	0.1111	0.0609	0.0723	0.0924	0.0281	0.0883	0.0386	0.0634	0.0278	0.0366	0.0751
3/3/2017 18:00	6	0.2483	0.1392	0.1237	0.1202	0.1649	0.0751	0.122	0.0813	0.1342	0.0522	0.0916	0.1613
3/3/2017 21:00	9	0.2487	0.1457	0.113	0.1131	0.1492	0.0746	0.1219	0.0858	0.1283	0.0508	0.0883	0.1663
3/4/2017 0:00	12	0.2475	0.1406	0.0982	0.1191	0.1379	0.0811	0.1162	0.081	0.13	0.0531	0.0805	0.1598
3/4/2017 3:00	15	0.2307	0.1326	0.0969	0.1142	0.1259	0.0766	0.1077	0.0799	0.1267	0.0505	0.0778	0.1499
3/4/2017 6:00	18	0.2291	0.131	0.0932	0.1148	0.1204	0.0742	0.1105	0.078	0.1222	0.0495	0.0769	0.1504
3/4/2017 9:00	21	0.2353	0.1252	0.0838	0.1091	0.1152	0.0677	0.1127	0.0747	0.1182	0.052	0.0774	0.1449
3/4/2017 12:00	24	0.2057	0.1102	0.0667	0.1	0.1081	0.0594	0.1043	0.0695	0.1084	0.0513	0.0671	0.129
3/4/2017 15:00	27	0.2205	0.1399	0.0788	0.0999	0.1344	0.0689	0.1052	0.0846	0.1217	0.0651	0.08	0.1547
3/4/2017 18:00	30	0.2168	0.1406	0.0809	0.0967	0.1408	0.0659	0.0968	0.0815	0.1231	0.0885	0.0886	0.1575
3/4/2017 21:00	33	0.2035	0.1321	0.0787	0.0894	0.135	0.0623	0.0934	0.0753	0.1214	0.0838	0.0857	0.1502
3/5/2017 0:00	36	0.1938	0.1294	0.074	0.0875	0.129	0.0578	0.0894	0.0719	0.119	0.0813	0.0771	0.152
3/5/2017 3:00	39	0.189	0.1138	0.0709	0.084	0.1218	0.0571	0.085	0.0711	0.1155	0.0832	0.073	0.1525
3/5/2017 6:00	42	0.1989	0.1119	0.0769	0.0758	0.1192	0.0528	0.0847	0.07	0.1243	0.0872	0.0659	0.1512
3/5/2017 9:00	45	0.1956	0.1142	0.0748	0.0767	0.1145	0.0484	0.0839	0.0663	0.1194	0.0812	0.0593	0.1493
3/5/2017 12:00	48	0.2301	0.1414	0.0881	0.0848	0.1317	0.0664	0.1085	0.0932	0.1381	0.096	0.0789	0.1776
3/5/2017 15:00	51	0.2415	0.1515	0.0965	0.092	0.1557	0.0496	0.1169	0.1068	0.1458	0.0742	0.0972	0.2026
3/5/2017 18:00	54	0.2454	0.1623	0.1039	0.1054	0.1504	0.0605	0.1159	0.1067	0.1445	0.0828	0.1043	0.2166
3/5/2017 21:00	57	0.2197	0.1399	0.099	0.0852	0.1413	0.0471	0.1129	0.0932	0.1282	0.0693	0.0978	0.1987
3/6/2017 0:00	60	0.2011	0.1389	0.0928	0.0826	0.1337	0.0453	0.1104	0.0878	0.1259	0.0617	0.0908	0.1888
3/6/2017 3:00	63	0.1945	0.1396	0.0912	0.076	0.1309	0.0429	0.1136	0.0804	0.1261	0.0608	0.0851	0.1901
3/6/2017 6:00	66	0.1819	0.1304	0.0885	0.0727	0.1306	0.0421	0.1113	0.075	0.1254	0.0622	0.0838	0.1873
3/6/2017 9:00	69	0.1788	0.1313	0.0834	0.0725	0.1265	0.036	0.114	0.0799	0.1213	0.0607	0.0828	0.1864
3/6/2017 12:00	72	0.1858	0.1499	0.0951	0.0898	0.1569	0.0513	0.1271	0.097	0.1501	0.0816	0.1017	0.2283
