Date,Elapsed,Control,PIM447 2.5 uM,PIM447 5 uM,PIM447 10 uM,PIM447 20 uM,BYL719 10 uM,BYL719 20 uM,BYL719 30 uM,BYL719 1.25 uM,BYL719 2.5 uM,BYL719 5 uM
,0,0.0459599,0.07146662,0.06639601,0.09002472,0.1030854,0.1000977,0.1125096,0.07872254,0.1033073,0.2709449,0.1090779
,3,0.05768889,0.1217118,0.1200386,0.2576281,0.4574308,0.1175631,0.1415503,0.1157022,0.06984471,0.2444991,0.09234662
,6,0.07259342,0.1559598,0.1328774,0.3421212,0.7175515,0.1314603,0.182525,0.1986587,0.08474923,0.2530526,0.1292238
,9,0.08710527,0.2134096,0.1644449,0.4139635,0.9846721,0.1401333,0.217951,0.2837495,0.09623921,0.2636036,0.152972
,12,0.09485631,0.2538038,0.1867932,0.4980981,1.249129,0.1731862,0.257833,0.4086538,0.1152071,0.2964516,0.1933321
,15,0.1171363,0.3030758,0.2225436,0.6413727,1.488814,0.2061196,0.3495991,0.5282315,0.14546,0.3208827,0.2153047
,18,0.1287116,0.3271484,0.2425699,0.8275343,1.726535,0.2405383,0.3999126,0.6574041,0.1767032,0.3205925,0.2339652
,21,0.2432358,0.4001004,0.3272167,1.144576,2.405246,0.3269094,0.5816864,0.8391267,0.2289629,0.3761131,0.3627793
,24,0.2218948,0.4300631,0.3851276,1.338727,2.669908,0.3543624,0.6447873,1.014583,0.2304995,0.255033,0.3860666
,27,0.2279898,0.5142319,0.4009028,1.536123,3.091042,0.4179415,0.7054811,1.218296,0.2732326,0.3828569,0.3734668
,30,0.2732155,0.5486506,0.4058881,1.714089,3.438303,0.4711402,0.785006,1.307791,0.3138658,0.3427529,0.4224998
,33,0.2614524,0.5921349,0.4315655,1.860778,3.690672,0.5151538,0.8626359,1.41103,0.3532527,0.3608159,0.4376434
,36,0.3041514,0.6730769,0.4924811,1.969805,4.074502,0.5372289,0.8808867,1.511828,0.3898396,0.3806033,0.4596843
,39,0.3438285,0.7048323,0.5101856,2.12177,4.483395,0.5241853,0.9410341,1.555568,0.3969419,0.373279,0.4821521
,42,0.3828056,0.7344023,0.5583649,2.260128,4.90878,0.5838717,1.011169,1.607657,0.3982395,0.4334435,0.4893397
,45,0.4095928,0.8259807,0.5107149,2.358416,5.322282,0.6471263,1.077411,1.645747,0.4525991,0.4306606,0.4762962
,48,0.4656086,0.8341756,0.6061004,2.773096,5.848602,0.7096126,1.225261,1.819974,0.5035102,0.4975005,0.4820668
,51,0.4936762,0.8380169,0.6102492,2.864043,6.477614,0.756153,1.279416,1.920977,0.5220853,0.5265754,0.5041418
,54,0.5386971,1.002052,0.6055371,2.932624,6.692628,0.7739599,1.335347,2.09809,0.5525602,0.5313046,0.5217097
,57,0.6502165,1.07847,0.6567383,2.924702,7.172169,0.8886719,1.382997,2.240647,0.5853912,0.5462262,0.5300412
,60,0.6992494,1.219474,0.7075127,2.999788,7.495424,0.8965424,1.415213,2.274059,0.6327339,0.5600722,0.5638624
,63,0.7935424,1.333349,0.7637162,3.049538,7.889856,1.010418,1.477478,2.394746,0.6865985,0.5307242,0.60482
,66,0.9267099,1.541944,0.8156516,3.212225,8.388603,1.014191,1.508089,2.474339,0.7567676,0.621244,0.6762866
,69,1.057009,1.645149,0.8635236,3.178352,8.640922,1.095201,1.603423,2.561855,0.7397461,0.6327169,0.6844986
,72,1.447173,1.994919,1.212969,3.429271,10.84278,1.111028,1.717435,2.785132,0.8815184,0.9002813,0.8355756
,0,0.02603597,0.04872569,0.03832837,0.08843695,0.1320579,0.06021566,0.07452264,0.08054934,0.09997814,0.09603434,0.3543795
,3,0.02711156,0.05570845,0.07759574,0.2616402,0.4671963,0.07902985,0.1000977,0.1205508,0.08261514,0.09775869,0.378896
,6,0.04782083,0.06542286,0.09803185,0.3232558,0.6816816,0.09145883,0.1420113,0.1812616,0.1068585,0.07858596,0.3660914
,9,0.05801328,0.08480045,0.09731479,0.3961907,0.9578678,0.1169826,0.205061,0.2302946,0.1234873,0.099944,0.3968053
,12,0.07273,0.1157875,0.1234874,0.4948372,1.172131,0.1449649,0.2522502,0.3065416,0.1442308,0.1128169,0.4234218
,15,0.07940546,0.1559256,0.1393821,0.6281414,1.399233,0.1825421,0.3255265,0.3907274,0.1664766,0.1202947,0.4702695
,18,0.07571774,0.1778812,0.1715301,0.7414705,1.64952,0.1862468,0.3963102,0.484474,0.1895419,0.1308286,0.5117221
,21,0.1101535,0.2246435,0.2384383,0.9326684,2.128292,0.2828787,0.5741402,0.6416289,0.1950052,0.1596304,0.55367
,24,0.1268165,0.2520795,0.3276265,1.060253,2.323621,0.299593,0.5770596,0.6808109,0.2054025,0.1812445,0.5992713
,27,0.1490965,0.2708937,0.3493943,1.157329,2.528341,0.3740303,0.6456068,0.7331218,0.2097219,0.1915053,0.6129466
,30,0.203183,0.2944028,0.3700011,1.307296,2.822283,0.4499699,0.6886131,0.8546629,0.213956,0.2062562,0.6150807
,33,0.2152706,0.3342507,0.359894,1.430169,3.194862,0.4712768,0.7155027,0.9725504,0.2243021,0.2107292,0.6514628
,36,0.2386602,0.3746961,0.4304045,1.521952,3.507942,0.5377923,0.7637504,1.052707,0.2576964,0.1969686,0.6423459
,39,0.2706546,0.399537,0.4336655,1.660822,3.817813,0.5817888,0.8539287,1.143705,0.2607695,0.2246777,0.6636527
,42,0.3145999,0.4407506,0.44927,1.682385,4.253595,0.6230025,0.9290661,1.204791,0.2741033,0.2492283,0.6218756
,45,0.3286679,0.4494578,0.474606,1.754825,4.607104,0.6204245,1.039441,1.319435,0.2879664,0.2452674,0.5017517
,48,0.3524332,0.4743669,0.5677379,1.738128,5.073822,0.6535286,1.133376,1.472936,0.3585452,0.3164096,0.4762961
,51,0.4102928,0.5036297,0.5953958,1.839472,5.52678,0.6800597,1.184082,1.527672,0.3842739,0.3349507,0.4517796
,54,0.4977908,0.5609429,0.6383168,1.804541,5.826697,0.7622821,1.232364,1.653549,0.4226193,0.3940566,0.5031345
,57,0.5506139,0.6228488,0.6962105,1.9526810000000001,6.343286,0.8360364,1.290309,1.747005,0.4484504,0.4354069,0.537263
,60,0.6753135,0.6607845,0.7079224,2.032377,6.669034,0.7783988,1.365207,1.81096,0.4732743,0.4904836,0.5829839
,63,0.727061,0.7016567,0.7822061,2.097714,7.070397,0.8259465,1.382638,1.841196,0.5366825,0.5068905,0.6195709
,66,0.8629944,0.8277221,0.7834694,2.176949,7.420304,0.9464802,1.468002,1.926252,0.6409289,0.5720915,0.7042518
,69,0.9627335,0.9074519,0.8258612,2.094231,7.619629,0.9694773,1.568424,1.985973,0.6543651,0.5801328,0.7036884
,72,1.316993,1.115057,1.065682,2.582769,9.564866,1.124652,1.839181,2.235577,0.8333732,0.7941741,1.147597
,0,0.03798692,0.07238855,0.05441092,0.08503947,0.1496087,0.0852102,0.4906202,0.04787205,0.1657766,0.04440628,0.3673207
,3,0.05534992,0.08901742,0.08594432,0.2121633,0.5058833,0.09646115,0.08130053,0.07452264,0.1633864,0.078125,0.3555063
,6,0.06813743,0.0830761,0.09449778,0.2636548,0.736912,0.1239142,0.1280116,0.1129534,0.1578036,0.09111737,0.3860324
,9,0.09077591,0.1014464,0.1304189,0.3650158,0.9802672,0.1470136,0.2075537,0.1918467,0.1731179,0.110512,0.4322655
,12,0.103239,0.09661481,0.1638644,0.4312582,1.246176,0.1664424,0.3297606,0.2510722,0.1714277,0.1371285,0.4480749
,15,0.1453234,0.1187923,0.1867761,0.5350606,1.518521,0.2120609,0.4789595,0.3304947,0.1956539,0.1404748,0.4899032
,18,0.1733398,0.1590841,0.2108658,0.6073638,1.815757,0.2751277,0.6231903,0.4026613,0.2044123,0.1390919,0.5890619
,21,0.1691912,0.2276312,0.2434748,0.91382,2.252547,0.3130634,0.8911474,0.5825571,0.3297947,0.1810055,0.59193
,24,0.1924101,0.2667108,0.2442772,1.047107,2.505173,0.3234095,0.9601214,0.7050201,0.3432139,0.2144682,0.6564822
,27,0.2245581,0.2942663,0.2531038,1.178192,2.77844,0.3471406,1.059622,0.7769989,0.3522113,0.256433,0.7021689
,30,0.2364749,0.3025124,0.3065074,1.3481,3.006344,0.375379,1.185994,0.848346,0.3675255,0.2745814,0.7302536
,33,0.2689474,0.3672011,0.3237168,1.480534,3.378514,0.4304729,1.337617,0.9157834,0.3746107,0.3060635,0.7275049
,36,0.3200461,0.3729205,0.3165462,1.56209,3.703408,0.5109539,1.355202,0.9828111,0.3849056,0.3296923,0.7555726
,39,0.390403,0.3977102,0.3835227,1.741508,3.994141,0.5217268,1.509335,1.04849,0.3952517,0.3485406,0.7529604
,42,0.3872787,0.4276388,0.4325216,1.844167,4.361888,0.5709988,1.5681,1.113674,0.4416043,0.3230339,0.7538482
,45,0.4094904,0.46735,0.4385653,1.970693,4.693561,0.6570968,1.73555,1.180343,0.4420482,0.3569404,0.7923814
,48,0.4102416,0.4907227,0.4578746,2.044038,5.06573,0.5945933,1.915241,1.350251,0.4723182,0.3628305,0.8421827
,51,0.4066734,0.4979444,0.4431921,2.124741,5.37543,0.6506945,1.981534,1.482121,0.4931811,0.3853154,0.9116688
,54,0.4601453,0.5614551,0.4271778,2.217121,5.693649,0.6812719,2.116699,1.515789,0.506771,0.3860836,0.9118055
,57,0.5093832,0.5775547,0.430285,2.348257,6.133,0.7634602,2.301051,1.633915,0.5590991,0.4006125,0.9518582
,60,0.5711524,0.6118881,0.5031004,2.324219,6.46148,0.7735843,2.409036,1.697767,0.5989811,0.4020979,0.9559386
,63,0.6563115,0.6237195,0.4935226,2.500649,6.828323,0.8149858,2.574506,1.832181,0.6379411,0.4010906,1.058426
,66,0.7664309,0.7125491,0.5152733,2.708339,7.372893,0.930944,2.696132,1.902692,0.6678868,0.4146976,1.079358
,69,0.839195,0.8311366,0.5515871,2.739889,7.575,0.9365098,2.761708,1.9668,0.746541,0.4424921,1.191662
,72,1.231852,0.9186857,0.7997739,3.236109,9.488346,1.175016,2.984576,2.310168,0.9665408,0.6915155,1.388341
